id;source;topic;type;question;options_or_pairs;correct;explanation;tags
SS2023-40;Original SS2023;Individualsoftware;multiple_choice;Welche Aussagen zu Individual-SW sind richtig?;"[{""id"": ""a"", ""text"": ""Individual-SW wird per Definition immer von den eigenen Mitarbeitern erstellt."", ""correct"": false}, {""id"": ""b"", ""text"": ""Die Einführung einer Individual-SW ist oft mit hohem Widerstand bei den Mitarbeitern verbunden."", ""correct"": false}, {""id"": ""c"", ""text"": ""Durch Individual-SW kann man möglicherweise Wettbewerbsvorteile erzielen."", ""correct"": true}, {""id"": ""d"", ""text"": ""Bei Individual-SW erfolgt eine individuelle Anpassung der Software an die Aufgaben."", ""correct"": true}]";"[""c"", ""d""]";;
HK2025-01;Original HK2025;Technische Klassifizierung;multiple_choice;Welche Kriterien zur technischen Klassifizierung eines Informationssystems auf Basis seiner Hardware gibt es?;"[{""id"": ""a"", ""text"": ""Arbeitsplatzrechner"", ""correct"": true}, {""id"": ""b"", ""text"": ""Client/Server System"", ""correct"": false}, {""id"": ""c"", ""text"": ""Großrechner"", ""correct"": true}, {""id"": ""d"", ""text"": ""Cluster"", ""correct"": true}, {""id"": ""e"", ""text"": ""Mobile App"", ""correct"": false}]";"[""a"", ""c"", ""d""]";;
HK2025-02;Original HK2025;Integration;multiple_choice;Welche der folgenden Beispiele beschreiben die horizontale Integration eines Informationssystems?;"[{""id"": ""a"", ""text"": ""Das Informationssystem unterstützt die Bereiche Rechnungswesen und Controlling und vernetzt diese Bereiche."", ""correct"": true}, {""id"": ""b"", ""text"": ""Das Informationssystem unterstützt die Bereiche Vertrieb, Beschaffung und Produktion und vernetzt diese Bereiche."", ""correct"": true}, {""id"": ""c"", ""text"": ""Das Informationssystem kumuliert Daten aus dem Controlling und liefert diese Daten an das Top-Management."", ""correct"": false}, {""id"": ""d"", ""text"": ""Das Informationssystem kumuliert Daten aus dem Bereich Produktion und liefert diese Daten weiter an das Controlling."", ""correct"": false}]";"[""a"", ""b""]";;
HK2025-03;Original HK2025;Auswahl IS;multiple_choice;Welche Aussagen zur Anbieterpräsentation sind richtig?;"[{""id"": ""a"", ""text"": ""Bei einer Anbieterpräsentation sollte man als Anbieter nur die Standard-Module vorstellen."", ""correct"": false}, {""id"": ""b"", ""text"": ""Bei einer Anbieterpräsentation sollte man dem Anbieter im Vorfeld ausreichend Informationen zu den Anforderungen zur Verfügung stellen."", ""correct"": true}, {""id"": ""c"", ""text"": ""Bei einer Anbieterpräsentation ermittelt man die Überdeckung zwischen Anforderungen und Standardkomponenten."", ""correct"": true}, {""id"": ""d"", ""text"": ""Bei einer Anbieterpräsentation sendet der Anbieter eine genaue Beschreibung seines Systems, welche man sich durchliest um den besten Anbieter auszuwählen."", ""correct"": false}]";"[""b"", ""c""]";;
HK2025-04;Original HK2025;Informationssysteme;multiple_choice;Welche Aussagen betreffend Einteilung von IS nach Art der Entscheidung sind korrekt?;"[{""id"": ""a"", ""text"": ""Das strategische Management arbeitet unter anderem mit Decision Support Systems."", ""correct"": true}, {""id"": ""b"", ""text"": ""Im operativen Management arbeitet man hauptsächlich mit Systemen die Business Intelligence verwenden."", ""correct"": false}, {""id"": ""c"", ""text"": ""Im operativen Management arbeitet man hauptsächlich mit Systemen die Online Transaction Processing verwenden."", ""correct"": true}, {""id"": ""d"", ""text"": ""Das strategische Management arbeitet hauptsächlich mit strukturierten Daten."", ""correct"": false}]";"[""a"", ""c""]";;
HK2025-05;Original HK2025;Einführung IS;multiple_choice;Wie kann bei der Einführung eines Informationssystems den Problemen mit Usern entgegen gewirkt werden, um indirekte Kosten zu vermeiden?;"[{""id"": ""a"", ""text"": ""Die Einführung eines neuen Informationssystems ist allein schon wegen der schnellen Gewöhnung der User auf ein bestehendes Modell zu überlegen."", ""correct"": false}, {""id"": ""b"", ""text"": ""Solange die Integration mit Microsoft Office gewährleistet werden kann, ist die Eintrittsbarriere für jedes System als niedrig zu erachten."", ""correct"": false}, {""id"": ""c"", ""text"": ""Neuere Versionen einer Software haben immer eine bessere Usability, wodurch sich die User schneller zurecht finden."", ""correct"": false}, {""id"": ""d"", ""text"": ""Schulungspläne sollten bereits frühestmöglich angeboten werden, um die User schrittweise an die neue Software heranzuführen."", ""correct"": true}]";"[""d""]";;
HK2025-06;Original HK2025;ECM;fill_blank;Enterprise Content Management (ECM) are the [1], methods and tools used to capture, manage, store, preserve, and deliver content and [2] related to [3]. ECM tools and strategies allow the management of an organization's unstructured [4] wherever it exists.;"[{""blank"": 1, ""answer"": ""strategies""}, {""blank"": 2, ""answer"": ""documents""}, {""blank"": 3, ""answer"": ""organizational processes""}, {""blank"": 4, ""answer"": ""information""}]";"[""strategies"", ""documents"", ""organizational processes"", ""information""]";;
HK2025-07;Original HK2025;Wissensmanagement;multiple_choice;Welche Aussagen zum Modell von Nonaka und Takeuchi sind richtig?;"[{""id"": ""a"", ""text"": ""Wenn Sie Ihre Bachelorarbeit oder Diplomarbeit schreiben, betreiben Sie Externalisation, vor allem, wenn Sie neue Thesen aufstellen."", ""correct"": true}, {""id"": ""b"", ""text"": ""Als Sie sich zu Hause zur Vorbereitung für die Prüfung die Folien durchgelesen haben, betrieben Sie Internalisierung."", ""correct"": true}, {""id"": ""c"", ""text"": ""Wenn Sie an Ihrer Bachelorarbeit oder Diplomarbeit arbeiten, betreiben Sie Kombination, vor allem, wenn Sie Informationen aus verschiedenen Publikationen mit Ihrem eigenen Wissen kombinieren."", ""correct"": true}, {""id"": ""d"", ""text"": ""Die Vermittlung von Wissen ohne Umwege über explizite Information nennt man Sozialisierung."", ""correct"": true}]";"[""a"", ""b"", ""c"", ""d""]";;
HK2025-08;Original HK2025;ERP;true_false;Mit einem ERP-System erreichen Sie grundsätzlich keine Wettbewerbsvorteile, weil Sie damit kein Alleinstellungsmerkmal haben. Ausnahmen stellen ERP-Systeme dar, die Branchen Best Practices abbilden.;"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": false}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": true}]";"""false""";;
HK2025-09;Original HK2025;Wirtschaftlichkeit;multiple_choice;Welche Aspekte müssen bei der Einführung von Informationssystemen von wirtschaftlicher Seite beachtet werden?;"[{""id"": ""a"", ""text"": ""Schnittstellen in vertikale Richtung sind nicht von Relevanz."", ""correct"": false}, {""id"": ""b"", ""text"": ""Nur jene Abteilungen des Unternehmens betrachten, in denen die meisten Mitarbeiter mit dem neuen System arbeiten."", ""correct"": false}, {""id"": ""c"", ""text"": ""Ermitteln von Aufwänden für allfällige Anpassungen und Änderungen."", ""correct"": true}, {""id"": ""d"", ""text"": ""Die betriebswirtschaftlichen Abläufe vollständig abbilden."", ""correct"": true}, {""id"": ""e"", ""text"": ""Den Mitarbeitern nichts über die Einführungspläne verraten."", ""correct"": false}, {""id"": ""f"", ""text"": ""Beachten der Schnittstellen mit anderen Systemen innen und außen und ggf. Eliminierung selbiger."", ""correct"": true}]";"[""c"", ""d"", ""f""]";;
HK2025-10;Original HK2025;Open Source;true_false;Sie finden ein OpenSource ERP-Produkt im Internet, welches vom Funktionsumfang Ihre Anforderungen abzudecken scheint. Sie haben im Unternehmen keine eigenen Entwickler. Das ERP-Produkt ist seit ca. einem Jahr am Markt, die Community ist schwach und es gibt keinen professionellen Support. Obwohl Ihre Anforderungen scheinbar abgedeckt werden, ist es nicht ratsam dieses ERP-System einzuführen.;"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": true}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": false}]";"""true""";;
HK2025-11;Original HK2025;Wirtschaftlichkeit;multiple_choice;Welche Aussage(n) über die Wirtschaftlichkeit von Informationssystemen sind korrekt?;"[{""id"": ""a"", ""text"": ""Mithilfe der ROI-Berechnung wird ermittelt, ob die Investition in ein Informationssystem eine Rendite ergeben hat, d.h. wirtschaftlich war."", ""correct"": true}, {""id"": ""b"", ""text"": ""Die Nutzwertanalyse wird auf Basis des Product Lifecycle gebildet und analysiert für das Unternehmen wichtige Kriterien jeder Phase."", ""correct"": true}, {""id"": ""c"", ""text"": ""Die Effizienz eines Informationssystems kann in der Planungs- und Entscheidungsphase durch TEI und Nutzwertanalyse betrachtet werden."", ""correct"": true}, {""id"": ""d"", ""text"": ""Das generelle Ziel bei der Einführung eines neuen Informationssystems sollte die Optimierung von geschäftskritischen Prozessen sein."", ""correct"": true}]";"[""a"", ""b"", ""c"", ""d""]";;
HK2025-12;Original HK2025;Make or Buy;true_false;Sie sind ein kleines, junges Start-Up in Graz, welches Exit-the-Room Räume anbietet. Ihre beiden Entwickler haben die benötigten Ressourcen und Fähigkeiten, am Markt gibt es keine passende AR-Lösung und die Auslastung ist niedrig. Im Sinne der Make-or-Buy-Matrix ist Make definitiv die richtige Entscheidung.;"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": true}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": false}]";"""true""";;
HK2025-13;Original HK2025;Open Source;multiple_choice;Welche Aussagen zu OpenSource sind richtig?;"[{""id"": ""a"", ""text"": ""OpenSource Lösungen sind gesamtheitlich betrachtet immer billiger als ClosedSource Lösungen."", ""correct"": false}, {""id"": ""b"", ""text"": ""OpenSource Lösungen sind gesamtheitlich betrachtet immer teurer als ClosedSource Lösungen."", ""correct"": false}, {""id"": ""c"", ""text"": ""Wenn hinter einer OpenSource Lösung ein Unternehmen steht, sind trotzdem alle Features des Softwareprodukts unter der OpenSource Lizenz verfügbar."", ""correct"": false}, {""id"": ""d"", ""text"": ""Bevor man eine OpenSource Lösung einsetzt, sollte überprüft werden ob die Entwicklercommunity aktiv ist und mit der Weiterentwicklung der Lösung zu rechnen ist."", ""correct"": true}]";"[""d""]";;
HK2025-14;Original HK2025;ERP;multiple_choice;Welche Aussagen zu Enterprise Resource Planning sind richtig?;"[{""id"": ""a"", ""text"": ""Enterprise Resource Planning ist nur für die vergangenheitsbezogene Analyse von Unternehmensdaten gedacht."", ""correct"": false}, {""id"": ""b"", ""text"": ""Enterprise Resource Planning ist ein Konzept."", ""correct"": true}, {""id"": ""c"", ""text"": ""Enterprise Resource Planning ist für die Verwaltung aller Ressourcen im Unternehmen gedacht."", ""correct"": true}, {""id"": ""d"", ""text"": ""Enterprise Resource Planning ist auch für die Analyse von Kennzahlen gedacht."", ""correct"": true}, {""id"": ""e"", ""text"": ""Enterprise Resource Planning ist grundsätzlich nur für einen Unternehmensbereich gedacht."", ""correct"": false}]";"[""b"", ""c"", ""d""]";;
HK2025-15;Original HK2025;Informationsmanagement;matching;Ordnen Sie die Schritte des Information Lifecycle nach dem ersten Schritt Create/Generate (beginnend bei Schritt 2)!;"[{""left"": ""Collect"", ""right"": ""Schritt 2""}, {""left"": ""Record/Store"", ""right"": ""Schritt 3""}, {""left"": ""Process"", ""right"": ""Schritt 4""}, {""left"": ""Distribute/Transmit"", ""right"": ""Schritt 5""}, {""left"": ""Consume/Use"", ""right"": ""Schritt 6""}, {""left"": ""Recycle/Erase"", ""right"": ""Schritt 7""}]";"{""Collect"": ""Schritt 2"", ""Record/Store"": ""Schritt 3"", ""Process"": ""Schritt 4"", ""Distribute/Transmit"": ""Schritt 5"", ""Consume/Use"": ""Schritt 6"", ""Recycle/Erase"": ""Schritt 7""}";;
HK2025-16;Original HK2025;Open Source;true_false;Ein Closed-Source-Projekt ist die Bezeichnung für ein abgeschlossenes Software-Projekt, welches ursprünglich Open-Source war, jedoch hat die Community aufgehört den Code weiterzuentwickeln.;"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": false}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": true}]";"""false""";;
HK2025-17;Original HK2025;ERP;multiple_choice;Welche Aussagen zu Begriffen im Umfeld von ERP sind richtig?;"[{""id"": ""a"", ""text"": ""ERP Systeme sind grundsätzlich für das gesamte Unternehmen gedacht."", ""correct"": true}, {""id"": ""b"", ""text"": ""Eine Ressource im Sinne von ERP sind bspw. Bodenschätze, Fähigkeiten und Fertigkeiten von Mitarbeitern sowie Kundendaten."", ""correct"": true}, {""id"": ""c"", ""text"": ""Es gibt zwei Arten von Planung: Die indikative, die Verhaltensweisen vorschreibt, und die imperative, die Empfehlungen gibt."", ""correct"": false}, {""id"": ""d"", ""text"": ""Die langfristige Planung, auch strategische Planung genannt, hat mindestens einen Zeithorizont von über vier Jahren, unabhängig von der Branche."", ""correct"": false}]";"[""a"", ""b""]";;
HK2025-18;Original HK2025;Informationssysteme;true_false;Zeichen sind eineindeutig, weil für jedes Zeichen festgelegt ist, was es bedeutet.;"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": false}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": true}]";"""false""";;
HK2025-19;Original HK2025;Integration;matching;Ordnen Sie die Fragestellungen den Begrifflichkeiten der Dimensionen der Integration nach Mertens zu!;"[{""left"": ""Über wie viele Einzeletappen hinweg findet die Integration statt?"", ""right"": ""Reichweite""}, {""left"": ""Welche Prozesse werden mit dem ERP-System unterstützt?"", ""right"": ""Gegenstand""}, {""left"": ""Werden einzelne Funktionsbereiche oder einzelne Bearbeitungsstufen integriert?"", ""right"": ""Richtung""}, {""left"": ""Wie viele betriebliche Funktionen werden integriert?"", ""right"": ""Umfang""}]";"{""Über wie viele Einzeletappen hinweg findet die Integration statt?"": ""Reichweite"", ""Welche Prozesse werden mit dem ERP-System unterstützt?"": ""Gegenstand"", ""Werden einzelne Funktionsbereiche oder einzelne Bearbeitungsstufen integriert?"": ""Richtung"", ""Wie viele betriebliche Funktionen werden integriert?"": ""Umfang""}";;
HK2025-20;Original HK2025;Dokument;multiple_choice;Welche Aussagen zur Definition des Begriffs Dokument sind richtig?;"[{""id"": ""a"", ""text"": ""Zeichen, Daten und Informationen sind logistische Objekte die direkt austauschbar sind."", ""correct"": true}, {""id"": ""b"", ""text"": ""Ein Dokument ist ein als Beweis geltendes Schriftstück."", ""correct"": true}, {""id"": ""c"", ""text"": ""Bildet man ein logistisches Objekt auf einem Trägermedium ab, entsteht ein Dokument."", ""correct"": true}, {""id"": ""d"", ""text"": ""Für Dokumente gibt es verschiedene Trägermedien. Auch Internet-Seiten können als Dokumente angesehen werden."", ""correct"": true}]";"[""a"", ""b"", ""c"", ""d""]";;
HK2025-21;Original HK2025;ERP;matching;Ordnen Sie die Aufgabenkategorie eines ERP-Systems der jeweiligen Tätigkeit zu!;"[{""left"": ""Datenhaltung für Geschäftsvorfälle (Aufträge, Avisos, ...)"", ""right"": ""Administration""}, {""left"": ""Überblick über Informationen schaffen"", ""right"": ""Kennzahlenbildung""}, {""left"": ""Automatisierung von Routinevorgängen - automatische Planung (Absatzmengen, Abfahrten, ...)"", ""right"": ""Disposition""}, {""left"": ""Erstellen von Auswertungen"", ""right"": ""Kennzahlenanalyse""}]";"{""Datenhaltung für Geschäftsvorfälle (Aufträge, Avisos, ...)"": ""Administration"", ""Überblick über Informationen schaffen"": ""Kennzahlenbildung"", ""Automatisierung von Routinevorgängen - automatische Planung (Absatzmengen, Abfahrten, ...)"": ""Disposition"", ""Erstellen von Auswertungen"": ""Kennzahlenanalyse""}";;
HK2025-22;Original HK2025;ECM;multiple_choice;Welche Aussagen zu den Formen von Content sind richtig?;"[{""id"": ""a"", ""text"": ""Schwach strukturierter Content ist Content in standardisierter Form."", ""correct"": false}, {""id"": ""b"", ""text"": ""Strukturierter Content sind Daten bspw. aus datenbankgestützten Systemen."", ""correct"": true}, {""id"": ""c"", ""text"": ""Schwach strukturierter Content ist beispielsweise ein Video."", ""correct"": false}, {""id"": ""d"", ""text"": ""Bei unstrukturiertem Content kann der Inhalt nicht so einfach erschlossen werden."", ""correct"": true}]";"[""b"", ""d""]";;
HK2025-23;Original HK2025;Informationssysteme;true_false;Informationssysteme sind sozio-technische Systeme. Unter diesem Begriff versteht man die Rolle des Menschen des Systemadministrators für die technischen Basiskonzepte (Hardware/Software). Dieser Begriff hat sich etabliert, weil IT-Systeme ohne vorherige Implementierung durch den Menschen nicht lauffähig sind.;"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": false}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": true}]";"""false""";;
HK2025-24;Original HK2025;Skalierbarkeit;multiple_choice;Welche Aussagen zur Skalierbarkeit von Systemen sind richtig?;"[{""id"": ""a"", ""text"": ""Skalierbarkeit ist oft auch die Bezeichnung für die Erweiterungsmöglichkeit eines Systems."", ""correct"": true}, {""id"": ""b"", ""text"": ""Ein System skaliert schlecht, wenn bei 4facher Eingabemenge die 2fache Rechnerleistung benötigt wird."", ""correct"": false}, {""id"": ""c"", ""text"": ""Das Verhalten von Softwaresystemen in Bezug auf den Ressourcenverbrauch bei steigenden Eingabemengen nennt man Skalierbarkeit."", ""correct"": true}, {""id"": ""d"", ""text"": ""Ein System skaliert gut, wenn bei 2facher Eingabemenge die 4fache Rechnerleistung benötigt wird."", ""correct"": false}]";"[""a"", ""c""]";;
HK2025-25;Original HK2025;Standardsoftware;multiple_choice;Welche Aussagen zu Standard-Software sind richtig?;"[{""id"": ""a"", ""text"": ""Standard-Software ist für spezielle Unternehmensfunktionen gedacht."", ""correct"": false}, {""id"": ""b"", ""text"": ""MS Office kann als Standard-Software angesehen werden."", ""correct"": true}, {""id"": ""c"", ""text"": ""Die gesamten Kosten für die Einführung einer Standard-Software können höher sein, als die einer entsprechenden Individual-Software."", ""correct"": true}, {""id"": ""d"", ""text"": ""SAP kann als Standard-Software angesehen werden."", ""correct"": true}]";"[""b"", ""c"", ""d""]";;
HK2025-26;Original HK2025;Auswahl IS;multiple_choice;Was sind typische Fehler in der Auswahlphase für ein ERP-System?;"[{""id"": ""a"", ""text"": ""Lange Dauer des Auswahlprozesses"", ""correct"": true}, {""id"": ""b"", ""text"": ""Zu genaue Definition der Anforderungen"", ""correct"": false}, {""id"": ""c"", ""text"": ""Schlechte Vertragsverhandlungen"", ""correct"": false}, {""id"": ""d"", ""text"": ""Unartikulierte oder verschwommene Zielsetzungen"", ""correct"": true}]";"[""a"", ""d""]";;
HK2025-27;Original HK2025;TCO;multiple_choice;Was versteht man unter direkten und indirekten Kosten beim TCO?;"[{""id"": ""a"", ""text"": ""Direkte Kosten treten oft an anderer Stelle auf. Ein Zusammenhang mit dem Informationssystem ist nicht sofort ersichtlich."", ""correct"": false}, {""id"": ""b"", ""text"": ""Indirekte Kosten treten oft an anderer Stelle auf. Ein Zusammenhang mit dem Informationssystem ist nicht sofort ersichtlich."", ""correct"": true}, {""id"": ""c"", ""text"": ""Direkte Kosten entstehen beim Betrieb des Informationssystems und können direkt damit in Zusammenhang gebracht werden."", ""correct"": true}, {""id"": ""d"", ""text"": ""Indirekte Kosten entstehen beim Betrieb des Informationssystems und können direkt damit in Zusammenhang gebracht werden."", ""correct"": false}]";"[""b"", ""c""]";;
HK2025-28;Original HK2025;Einführung IS;multiple_choice;Welche Aussagen zu Umstellungsstrategien bei der ERP Einführung sind richtig?;"[{""id"": ""a"", ""text"": ""Bei der schrittweisen Ablösung als Umstellungsstrategie muss das System in Module aufgeteilt sein."", ""correct"": true}, {""id"": ""b"", ""text"": ""Bei der teilweisen Ersetzung als Umstellungsstrategie muss das System in Module aufgeteilt sein."", ""correct"": false}, {""id"": ""c"", ""text"": ""Bei der teilweisen Ersetzung als Umstellungsstrategie werden Teile der Geschäftsobjekte mit dem neuen und Teile mit dem alten System verwaltet."", ""correct"": true}, {""id"": ""d"", ""text"": ""Bei der schrittweisen Ablösung als Umstellungsstrategie werden Teile der Geschäftsobjekte mit dem neuen und Teile mit dem alten System verwaltet."", ""correct"": false}]";"[""a"", ""c""]";;
HK2025-29;Original HK2025;Wissensmanagement;true_false;Wissen ist im Unternehmenskontext eine Ressource, wie es auch bspw. MitarbeiterInnen, Materialien und Maschinen sind. Es ist daher möglich Wissen im Unternehmen mittels ERP-System zu managen.;"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": false}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": true}]";"""false""";;
HK2025-30;Original HK2025;Wissensmanagement;multiple_choice;Was zählt im Wissensmanagement-Modell nach Probst et al. zum Inneren Kreislauf?;"[{""id"": ""a"", ""text"": ""Wissensidentifikation"", ""correct"": true}, {""id"": ""b"", ""text"": ""Wissensbewertung"", ""correct"": false}, {""id"": ""c"", ""text"": ""Wissensabbau"", ""correct"": false}, {""id"": ""d"", ""text"": ""Wissensziele"", ""correct"": false}]";"[""a""]";;
HK2025-31;Original HK2025;Auswahl IS;multiple_choice;Welche Aussagen zur Auswahl eines ERP-Systems sind richtig?;"[{""id"": ""a"", ""text"": ""Eine mögliche Fehlerquelle bei der Auswahl ist eine überzogene Erwartungshaltung. Es wird erwartet, dass die ERP-Einführung alle bisherigen Probleme beseitigen kann."", ""correct"": true}, {""id"": ""b"", ""text"": ""Praxiserfahrungen haben gezeigt, dass bis zu einer Auftragsvergabe im Durchschnitt maximal zwei Monate vergehen."", ""correct"": false}, {""id"": ""c"", ""text"": ""Systempflege und -wartung sind bei einem ERP-System nicht notwendig, weil dieses in der Regel funktioniert, wenn es eingeführt wurde."", ""correct"": false}, {""id"": ""d"", ""text"": ""Mitarbeiter aus einzelnen Fachabteilungen müssen im Auswahlprozess nicht involviert sein."", ""correct"": false}]";"[""a""]";;
HK2025-32;Original HK2025;Informationssysteme;multiple_choice;Was ist der Unterschied zwischen Informationssystemen und Anwendungssystemen?;"[{""id"": ""a"", ""text"": ""Es gibt keinen Unterschied. Anwendungssysteme sind Informationssysteme."", ""correct"": false}, {""id"": ""b"", ""text"": ""Das Anwendungssystem ist das Programm/die Software mit der zugehörigen Hardware und den zugehörigen Daten."", ""correct"": true}, {""id"": ""c"", ""text"": ""Erst wenn der Mensch das Informationssystem nutzt, die Informationen nutzt, wird es zum Anwendungssystem."", ""correct"": false}, {""id"": ""d"", ""text"": ""Erst wenn der Mensch das Anwendungssystem nutzt, die Informationen nutzt, wird es zum Informationssystem."", ""correct"": true}]";"[""b"", ""d""]";;
HK2025-33;Original HK2025;Einführung IS;multiple_choice;Welche Aussagen über die Einführung eines ERP-Systems sind richtig?;"[{""id"": ""a"", ""text"": ""Ein Einführungs-Referenzmodell zeigt die einzelnen Schritte auf, die bei der Einführung durchzuführen sind."", ""correct"": false}, {""id"": ""b"", ""text"": ""In der Prototypen-Phase der Einführung werden unter anderem Parametertests und Lasttests durchgeführt."", ""correct"": true}, {""id"": ""c"", ""text"": ""Der Begriff Big-Bang-Umstellungsszenario beschreibt eine Einführung die explosionsartig schief gegangen ist."", ""correct"": false}, {""id"": ""d"", ""text"": ""Oft scheitert die Einführung, weil im Vorfeld keine Analyse der bestehenden Geschäftsprozesse stattgefunden hat."", ""correct"": true}]";"[""b"", ""d""]";;
HK2025-34;Original HK2025;TCO;matching;Bestimmen Sie, ob die folgenden Kosten direkt oder indirekt sind!;"[{""left"": ""Anfänglicher Produktivitätsverlust"", ""right"": ""INDIREKT""}, {""left"": ""Lizenzkosten"", ""right"": ""DIREKT""}, {""left"": ""Ungeplante Downtime"", ""right"": ""INDIREKT""}, {""left"": ""Serviceverträge"", ""right"": ""DIREKT""}, {""left"": ""Datenkorrekturen/Datenreparaturen"", ""right"": ""INDIREKT""}, {""left"": ""Lernen im Arbeitsalltag"", ""right"": ""INDIREKT""}, {""left"": ""Hardware"", ""right"": ""DIREKT""}, {""left"": ""Technischer Support"", ""right"": ""DIREKT""}]";"{""Anfänglicher Produktivitätsverlust"": ""INDIREKT"", ""Lizenzkosten"": ""DIREKT"", ""Ungeplante Downtime"": ""INDIREKT"", ""Serviceverträge"": ""DIREKT"", ""Datenkorrekturen/Datenreparaturen"": ""INDIREKT"", ""Lernen im Arbeitsalltag"": ""INDIREKT"", ""Hardware"": ""DIREKT"", ""Technischer Support"": ""DIREKT""}";;
HK2025-35;Original HK2025;Auswahl IS;matching;Ordnen Sie die Phasen bei der Auswahl eines ERP-Systems nach deren Aufwand (1 höchster Aufwand, 3 niedrigster Aufwand)!;"[{""left"": ""Endauswahl und Entscheidung"", ""right"": ""3""}, {""left"": ""Anforderungen spezifizieren"", ""right"": ""2""}, {""left"": ""Prozessanalyse"", ""right"": ""1""}]";"{""Endauswahl und Entscheidung"": ""3"", ""Anforderungen spezifizieren"": ""2"", ""Prozessanalyse"": ""1""}";;
HK2025-36;Original HK2025;Wissensmanagement;true_false;Wenn Sie Ihre Mitarbeiter verpflichten Ihr Wissen zu externalisieren, ist die Wissensbewahrung in Ihrem Unternehmen gesichert.;"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": false}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": true}]";"""false""";;
HK2025-37;Original HK2025;ECM;true_false;Information und Wissen ist neben Arbeit, Kapital und natürlichen Ressourcen in unserer heutigen Zeit der vierte Produktionsfaktor geworden. Vor allem in der Dienstleistungsbranche sind Informationen und Wissen entscheidend.;"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": true}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": false}]";"""true""";;
HK2025-38;Original HK2025;IT-Footprint;true_false;"Die Verlagerung des IT-Footprint in Anlehnung an die aktuelle Unternehmensstrategie ermöglicht die Ausrichtung der eigenen IKT-Infrastruktur anhand der folgenden vier Kriterien: Wettbewerbsvorteil, Kostendämmung, Technologiefokus und Business-Service-Fokus. Der Ideale Footprint stellt eine Mischung dieser Kriterien dar; die Entscheidung zur Gestaltung der IKT-Infrastruktur wird entsprechend danach ausgestaltet.";"[{""id"": ""true"", ""text"": ""Wahr"", ""correct"": true}, {""id"": ""false"", ""text"": ""Falsch"", ""correct"": false}]";"""true""";;
HK2025-39;Original HK2025;Wissensmanagement;multiple_choice;Welche Aussagen über Information und Wissen sind richtig?;"[{""id"": ""a"", ""text"": ""Es gibt nicht beweisbares Wissen."", ""correct"": true}, {""id"": ""b"", ""text"": ""Damit Daten zu Informationen werden, ist der Einsatz von Wissen notwendig."", ""correct"": true}, {""id"": ""c"", ""text"": ""Explizites Wissen kann man nicht direkt sprachlich artikulieren."", ""correct"": false}, {""id"": ""d"", ""text"": ""Information ist nie zeitabhängig."", ""correct"": false}, {""id"": ""e"", ""text"": ""Redundante Information kann auch Information sein."", ""correct"": true}, {""id"": ""f"", ""text"": ""Implizites Wissen kann man nicht direkt sprachlich artikulieren."", ""correct"": true}]";"[""a"", ""b"", ""e"", ""f""]";;
